school,cost
Bowling Green State University-Main Campus,24529
Capital University,47719
Case Western Reserve University,69526
Cedarville University,42318
Central State University,19769
The Christ College of Nursing and Health Sciences,24950
University of Cincinnati-Main Campus,26892
Ohio Christian University,32568
Cleveland Institute of Art,59708
Cleveland Institute of Music,60680
Cleveland State University,24010
Columbus College of Art and Design,49217
University of Dayton,60900
Defiance College,46420
Denison University,69128
The University of Findlay,47032
Franklin University,23956
Gods Bible School and College,15632
Heidelberg University,44381
Hiram College,50555
John Carroll University,57651
Kent State University at Kent,25836
Kenyon College,74550
Kettering College,25698
Lake Erie College,45740
Lourdes University,37498
Malone University,44743
Marietta College,49601
Mercy College of Ohio,22784
Miami University-Hamilton,16237
Miami University-Middletown,15072
Miami University-Oxford,33805
Mount Carmel College of Nursing,21615
University of Mount Union,44497
Mount Vernon Nazarene University,43341
Mount Saint Joseph University,39248
Muskingum University,41716
Notre Dame College,43425
Oberlin College,77124
Ohio Dominican University,42524
Ohio Northern University,49392
Ohio State University-Lima Campus,17747
Ohio State University-Main Campus,27202
Ohio University-Main Campus,29534
Ohio Wesleyan University,62161
Otterbein University,45773
Pontifical College Josephinum,43542
Rabbinical College Telshe,20200
Shawnee State University,16327
Franciscan University of Steubenville,39788
Tiffin University,41055
University of Toledo,25118
Tri-State Bible College,14768
Union Institute & University,31656
Ursuline College,44600
Walsh University,42869
Wilberforce University,23450
Wilmington College,38642
Wittenberg University,53219
The College of Wooster,66108
Wright State University-Main Campus,23009
Wright State University-Lake Campus,15648
Xavier University,58260
Youngstown State University,18929
Bacone College,31050
Oklahoma Wesleyan University,40883
Southern Nazarene University,38327
Cameron University,15685
University of Central Oklahoma,24185
East Central University,16681
Randall University,27838
Langston University,20447
Northeastern State University,17889
Northwestern Oklahoma State University,17928
Oklahoma Christian University,37015
Oklahoma Panhandle State University,15443
Oklahoma State University-Main Campus,23906
Oklahoma Baptist University,42983
Oklahoma City University,44942
University of Oklahoma-Norman Campus,29577
Oral Roberts University,44006
Rogers State University,20029
University of Science and Arts of Oklahoma,18540
Southeastern Oklahoma State University,16367
Southwestern Christian University,28315
Southwestern Oklahoma State University,21147
University of Tulsa,58637
Eastern Oregon University,22408
New Hope Christian College-Eugene,25822
George Fox University,51439
Lewis & Clark College,68735
Linfield University-McMinnville Campus,58485
Mount Angel Seminary,39700
Multnomah University,42743
Bushnell University,43464
Oregon Institute of Technology,23366
Oregon State University,27595
University of Oregon,27717
Pacific Northwest College of Art,54345
Pacific University,62157
Portland State University,20571
University of Portland,64049
Reed College,75586
Southern Oregon University,17755
Warner Pacific University,32176
Corban University,45919
Willamette University,66416
Western Oregon University,22810
Bryn Athyn College of the New Church,36254
Albright College,40300
Allegheny College,64901
DeSales University,54300
Alvernia University,49990
Clarks Summit University,33826
Arcadia University,59684
Bloomsburg University of Pennsylvania,25058
Bryn Mawr College,73540
Bucknell University,75400
Cabrini University,46293
California University of Pennsylvania,25716
Carlow University,44201
